id_respuesta,fecha,edad,area,satisfaccion,comentario
R00001,2025-11-26,34.0,Atención,4,
R00002,2025-11-17,36.0,Soporte,6,Rápido
R00003,2025-11-28,54.0,Soporte,6,
R00004,2025-11-18,48.0,Soporte,2,Muy bien
R00005,2025-11-24,63.0,Atención,NS/NC,Mal servicio
R00006,2025-11-14,50.0,Atención,1,Rápido
R00007,2025-11-13,,Postventa,6,
R00008,2025-11-02,45.0,Ventas,2,
R00009,2025-11-08,50.0,Soporte,4,
R00010,2025-11-19,,Atención,5,Excelente
R00011,2025-11-25,51.0,Atención,10,Mal servicio
R00012,2025-11-14,24.0,Ventas,7,
R00013,2025-11-29,65.0,Soporte,1,Mal servicio
R00014,2025-11-17,51.0,Postventa,11,Excelente
R00015,2025-11-30,,Atención,8,Mal servicio
R00016,2025-11-01,26.0,Soporte,3,Muy bien
R00017,2025-11-14,54.0,Atención,NS/NC,Rápido
R00018,2025-11-13,,Atención,5,
R00019,2025-11-30,,Postventa,4,Muy bien
R00020,2025-11-05,31.0,Postventa,6,
R00021,2025-11-03,26.0,Soporte,5,Mal servicio
R00022,2025-11-13,,Soporte,6,
R00023,2025-11-02,62.0,Atención,7,Podría mejorar
R00024,2025-11-11,,Ventas,10,Podría mejorar
R00025,2025-11-06,,Postventa,8,Excelente
R00026,2025-11-22,,Soporte,2,
R00027,2025-11-08,18.0,Soporte,3,
R00028,2025-11-21,,Postventa,2,
R00029,2025-11-18,,Atención,5,
R00030,2025-11-28,,Soporte,8,
R00031,2025-11-25,25.0,Atención,5,
R00032,2025-11-25,,Atención,1,Podría mejorar
R00033,2025-11-18,,Ventas,5,Rápido
R00034,2025-11-04,,Soporte,6,Excelente
R00035,2025-11-07,50.0,Soporte,9,Muy bien
R00036,2025-11-12,41.0,Soporte,6,
R00037,2025-11-19,30.0,Atención,4,Muy bien
R00038,2025-11-19,,Soporte,7,
R00039,2025-11-01,,Soporte,7,
R00040,2025-11-30,38.0,Ventas,6,
R00041,2025-11-16,55.0,Atención,7,
R00042,2025-11-01,,Atención,7,Rápido
R00043,2025-11-24,43.0,Soporte,4,Muy bien
R00044,2025-11-28,34.0,Atención,NS/NC,Muy bien
R00045,2025-11-07,28.0,Soporte,8,Rápido
R00046,2025-11-26,,Soporte,4,
R00047,2025-11-12,,Postventa,3,
R00048,2025-11-11,41.0,Soporte,5,
R00049,2025-11-26,,Atención,5,Excelente
R00050,2025-11-28,27.0,Ventas,6,
R00051,2025-11-13,22.0,Soporte,8,Podría mejorar
R00052,2025-11-22,,Soporte,12,
R00053,2025-11-15,,Atención,6,
R00054,2025-11-08,32.0,Atención,5,
R00055,2025-11-24,40.0,Soporte,4,Podría mejorar
R00056,2025-11-16,50.0,Ventas,3,
R00057,2025-11-01,20.0,Atención,5,
R00058,2025-11-09,,Atención,9,
R00059,2025-11-17,,Ventas,7,Rápido
R00060,2025-11-28,,Atención,10,Muy bien
R00061,2025-11-25,41.0,Soporte,5,
R00062,2025-11-06,,Soporte,6,Mal servicio
R00063,2025-11-22,,Atención,10,Mal servicio
R00064,2025-11-08,,Postventa,5,Excelente
R00065,2025-11-19,,Ventas,2,
R00066,2025-11-04,,Atención,8,
R00067,2025-11-28,58.0,Postventa,3,Podría mejorar
R00068,2025-11-02,,Atención,5,Excelente
R00069,2025-11-17,,Atención,1,Muy bien
R00070,2025-11-04,,Postventa,5,Rápido
R00071,2025-11-09,,Ventas,7,Muy bien
R00072,2025-11-24,53.0,Postventa,2,Podría mejorar
R00073,2025-11-18,36.0,Atención,1,Excelente
R00074,2025-11-05,22.0,Ventas,5,Excelente
R00075,2025-11-09,,Ventas,3,
R00076,2025-11-19,,Soporte,12,
R00077,2025-11-01,40.0,Atención,1,
R00078,2025-11-15,56.0,Soporte,7,
R00079,2025-11-20,25.0,Postventa,4,
R00080,2025-11-26,60.0,Atención,10,Rápido
R00081,2025-11-22,29.0,Soporte,7,Mal servicio
R00082,2025-11-27,48.0,Postventa,4,
R00083,2025-11-07,,Atención,7,Mal servicio
R00084,2025-11-28,,Soporte,7,Mal servicio
R00085,2025-11-18,54.0,Atención,NS/NC,Rápido
R00086,2025-11-12,,Atención,7,Rápido
R00087,2025-11-19,63.0,Atención,3,Rápido
R00088,2025-11-30,,Ventas,2,Mal servicio
R00089,2025-11-17,,Postventa,4,Excelente
R00090,2025-11-11,61.0,Ventas,5,
R00091,2025-11-16,,Soporte,7,Rápido
R00092,2025-11-15,,Atención,6,Muy bien
R00093,2025-11-01,,Atención,NS/NC,Mal servicio
R00094,2025-11-13,,Soporte,9,
R00095,2025-11-09,,Atención,5,
R00096,2025-11-09,,Soporte,6,Podría mejorar
R00097,2025-11-05,35.0,Soporte,6,
R00098,2025-11-02,,Atención,8,
R00099,2025-11-02,,Atención,6,Rápido
