"id_respuesta","fecha","edad","area","satisfaccion","comentario"
"R00001","2025-11-26","34","Atencion","4"," "
"R00002","2025-11-17","36","Soporte","6","Rapido"
"R00003","2025-11-28","54","Soporte","6"," "
"R00004","2025-11-18","48","Soporte","2","Muy bien"
"R00006","2025-11-14","50","Atencion","1","Rapido"
"R00008","2025-11-02","45","Ventas","2"," "
"R00009","2025-11-08","50","Soporte","4"," "
"R00011","2025-11-25","51","Atencion","10","Mal servicio"
"R00012","2025-11-14","24","Ventas","7"," "
"R00013","2025-11-29","65","Soporte","1","Mal servicio"
"R00016","2025-11-01","26","Soporte","3","Muy bien"
"R00020","2025-11-05","31","Postventa","6"," "
"R00021","2025-11-03","26","Soporte","5","Mal servicio"
"R00023","2025-11-02","62","Atencion","7","Podria mejorar"
"R00027","2025-11-08","18","Soporte","3"," "
"R00031","2025-11-25","25","Atencion","5"," "
"R00035","2025-11-07","50","Soporte","9","Muy bien"
"R00036","2025-11-12","41","Soporte","6"," "
"R00037","2025-11-19","30","Atencion","4","Muy bien"
"R00040","2025-11-30","38","Ventas","6"," "
"R00041","2025-11-16","55","Atencion","7"," "
"R00043","2025-11-24","43","Soporte","4","Muy bien"
"R00045","2025-11-07","28","Soporte","8","Rapido"
"R00048","2025-11-11","41","Soporte","5"," "
"R00050","2025-11-28","27","Ventas","6"," "
"R00051","2025-11-13","22","Soporte","8","Podria mejorar"
"R00054","2025-11-08","32","Atencion","5"," "
"R00055","2025-11-24","40","Soporte","4","Podria mejorar"
"R00056","2025-11-16","50","Ventas","3"," "
"R00057","2025-11-01","20","Atencion","5"," "
"R00061","2025-11-25","41","Soporte","5"," "
"R00067","2025-11-28","58","Postventa","3","Podria mejorar"
"R00072","2025-11-24","53","Postventa","2","Podria mejorar"
"R00073","2025-11-18","36","Atencion","1","Excelente"
"R00074","2025-11-05","22","Ventas","5","Excelente"
"R00077","2025-11-01","40","Atencion","1"," "
"R00078","2025-11-15","56","Soporte","7"," "
"R00079","2025-11-20","25","Postventa","4"," "
"R00080","2025-11-26","60","Atencion","10","Rapido"
"R00081","2025-11-22","29","Soporte","7","Mal servicio"
"R00082","2025-11-27","48","Postventa","4"," "
"R00087","2025-11-19","63","Atencion","3","Rapido"
"R00090","2025-11-11","61","Ventas","5"," "
"R00097","2025-11-05","35","Soporte","6"," "
"R00100","2025-11-10","51","Ventas","2","Podria mejorar"
"R00101","2025-11-29","50","Soporte","3","Rapido"
"R00103","2025-11-03","28","Soporte","9"," "
"R00105","2025-11-20","18","Atencion","5"," "
"R00107","2025-11-21","29","Ventas","7","Muy bien"
"R00108","2025-11-19","63","Soporte","5","Mal servicio"
"R00112","2025-11-09","58","Soporte","6","Podria mejorar"
"R00113","2025-11-07","25","Ventas","8","Podria mejorar"
"R00115","2025-11-03","26","Soporte","8","Excelente"
"R00117","2025-11-23","65","Ventas","6","Rapido"
"R00118","2025-11-21","51","Soporte","7","Excelente"
"R00123","2025-11-14","27","Atencion","6"," "
"R00125","2025-11-02","57","Atencion","1","Muy bien"
"R00126","2025-11-29","57","Soporte","2"," "
"R00130","2025-11-21","20","Atencion","9"," "
"R00131","2025-11-11","28","Atencion","6"," "
"R00135","2025-11-05","48","Ventas","4","Mal servicio"
"R00136","2025-11-11","22","Soporte","9","Rapido"
"R00137","2025-11-15","38","Atencion","2","Rapido"
"R00138","2025-11-08","51","Atencion","2"," "
"R00140","2025-11-22","32","Soporte","9","Mal servicio"
"R00141","2025-11-04","20","Ventas","10","Mal servicio"
"R00142","2025-11-04","31","Atencion","8","Excelente"
"R00144","2025-11-07","64","Ventas","9","Muy bien"
"R00145","2025-11-29","60","Atencion","6","Mal servicio"
"R00147","2025-11-18","22","Postventa","4"," "
"R00149","2025-11-02","58","Atencion","7","Rapido"
"R00151","2025-11-05","20","Soporte","9","Mal servicio"
"R00155","2025-11-28","22","Ventas","8"," "
"R00156","2025-11-30","34","Atencion","2"," "
"R00158","2025-11-19","48","Postventa","6"," "
"R00160","2025-11-16","36","Soporte","4"," "
"R00161","2025-11-22","42","Atencion","9"," "
"R00162","2025-11-24","52","Atencion","1","Podria mejorar"
"R00163","2025-11-11","55","Postventa","4"," "
"R00164","2025-11-01","55","Atencion","2"," "
"R00166","2025-11-17","58","Atencion","3","Muy bien"
"R00167","2025-11-22","42","Atencion","2","Rapido"
"R00168","2025-11-24","26","Atencion","8","Podria mejorar"
"R00174","2025-11-03","39","Ventas","9","Mal servicio"
"R00177","2025-11-03","27","Atencion","1"," "
"R00187","2025-11-15","20","Ventas","8","Muy bien"
"R00188","2025-11-03","60","Postventa","3"," "
"R00189","2025-11-20","20","Soporte","2"," "
"R00190","2025-11-20","46","Ventas","5"," "
"R00191","2025-11-19","43","Postventa","3","Excelente"
"R00192","2025-11-17","47","Atencion","6","Podria mejorar"
"R00196","2025-11-20","47","Atencion","5"," "
"R00197","2025-11-16","52","Ventas","7","Excelente"
"R00199","2025-11-25","33","Atencion","10"," "
"R00201","2025-11-20","61","Soporte","1"," "
"R00205","2025-11-08","55","Atencion","6","Rapido"
"R00206","2025-11-14","57","Postventa","10"," "
"R00209","2025-11-30","29","Atencion","3"," "
"R00210","2025-11-14","32","Soporte","3","Muy bien"
"R00213","2025-11-28","26","Atencion","1"," "
"R00214","2025-11-26","42","Soporte","6"," "
"R00215","2025-11-11","40","Ventas","3","Mal servicio"
"R00216","2025-11-11","52","Soporte","6"," "
"R00220","2025-11-13","49","Atencion","7"," "
"R00221","2025-11-23","43","Atencion","9"," "
"R00222","2025-11-12","25","Postventa","1"," "
"R00223","2025-11-22","54","Soporte","10"," "
"R00225","2025-11-18","39","Ventas","6"," "
"R00227","2025-11-18","41","Atencion","8"," "
"R00228","2025-11-28","30","Soporte","3"," "
"R00229","2025-11-25","40","Soporte","3"," "
"R00232","2025-11-19","64","Ventas","6"," "
"R00235","2025-11-07","41","Atencion","6","Muy bien"
"R00236","2025-11-25","62","Atencion","2","Podria mejorar"
"R00237","2025-11-10","63","Soporte","7","Excelente"
"R00239","2025-11-19","21","Soporte","6","Mal servicio"
"R00240","2025-11-15","48","Soporte","3","Rapido"
"R00241","2025-11-16","40","Soporte","6","Muy bien"
"R00244","2025-11-30","32","Ventas","6"," "
"R00249","2025-11-28","34","Soporte","8"," "
"R00250","2025-11-05","31","Ventas","7"," "
"R00254","2025-11-11","18","Soporte","4","Mal servicio"
"R00258","2025-11-26","25","Soporte","10","Podria mejorar"
"R00259","2025-11-25","24","Atencion","3","Excelente"
"R00262","2025-11-03","31","Soporte","6"," "
"R00263","2025-11-01","31","Soporte","5","Mal servicio"
"R00266","2025-11-17","52","Ventas","6","Muy bien"
"R00268","2025-11-15","43","Atencion","7"," "
"R00269","2025-11-18","53","Soporte","8"," "
"R00270","2025-11-03","65","Ventas","5","Rapido"
"R00271","2025-11-03","34","Soporte","10"," "
"R00275","2025-11-23","59","Ventas","9","Mal servicio"
"R00276","2025-11-04","54","Atencion","2","Mal servicio"
"R00277","2025-11-02","34","Atencion","2"," "
"R00278","2025-11-12","56","Atencion","5","Podria mejorar"
"R00279","2025-11-11","53","Soporte","7"," "
"R00282","2025-11-01","39","Ventas","8"," "
"R00285","2025-11-25","38","Atencion","3"," "
"R00288","2025-11-12","23","Soporte","2"," "
"R00292","2025-11-15","45","Soporte","7"," "
"R00294","2025-11-01","25","Ventas","6","Rapido"
"R00296","2025-11-10","57","Atencion","8","Rapido"
"R00298","2025-11-07","46","Atencion","10"," "
"R00300","2025-11-08","56","Postventa","1"," "
"R00301","2025-11-29","56","Soporte","1","Podria mejorar"
"R00304","2025-11-10","44","Atencion","2","Rapido"
"R00307","2025-11-14","20","Atencion","6"," "
"R00312","2025-11-20","63","Soporte","1"," "
"R00315","2025-11-25","49","Atencion","9"," "
"R00317","2025-11-27","21","Soporte","1","Mal servicio"
"R00322","2025-11-04","52","Atencion","3"," "
"R00326","2025-11-17","55","Atencion","7"," "
"R00327","2025-11-04","45","Postventa","4"," "
"R00329","2025-11-02","57","Atencion","9"," "
"R00331","2025-11-21","43","Postventa","4"," "
"R00332","2025-11-04","18","Atencion","6"," "
"R00333","2025-11-27","53","Atencion","1","Rapido"
"R00334","2025-11-06","46","Ventas","7","Mal servicio"
"R00335","2025-11-16","27","Postventa","1"," "
"R00337","2025-11-15","30","Postventa","5","Podria mejorar"
"R00340","2025-11-03","31","Soporte","3","Excelente"
